partReference,partRefer,rcCode,digitPart,supplierCode,companyName,tgpSuppliersCode,partLabel,moduleQuantity,moduleType,moduleVolume,moduleWeight,partWeight,moduleLength,moduleWidth,moduleHeight,partSpecificPackagingCode
015531HA0AO,015531HA0A,OC,015531HA0AOC,008AO6  ,PIOLAX INDIA PRIVATE LIMITED            ,NIS,CLIP-WSTRIP         ,50400,ID,1.473,101.4,0.001,1180,1140,1095,NIS---DZAD
015531HA0DB,015531HA0D,66,015531HA0D66,270697,NISSAN MOTORS INDIA P LTD               ,SR1,CLIP.               ,200,40,0.005,13.9,0.069,300,200,90,CAR-G*40--
110100100RE,110100100R,70,110100100R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,CARTER PIN ASS PLR  ,1,40,0.005,27.565,27.465,300,200,90,CAR-G*40--
110227093RI,110227093R,71,110227093R71,264490,BAJAJ MOTORS LIMITED                    ,1,LOCATOR-CRANKSHAFT B,120000,4C,0.369,219,0.0017,1140,490,660,CAR-S*3565
110424385RM,110424385R,66,110424385R66,287246,ALICON CASTALLOY LIMITED                ,1,HEAD-CYL            ,98,V6,1.184,699.999,6.2551,1190,1150,865,CKD---6IND
110447527RE,110447527R,70,110447527R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,GSKT-CYL HEAD       ,113,40,0.005,8.688,0.076,300,200,90,CAR-G*40--
110447527RM,110447527R,58,110447527R58,268424,ELRINGLINGER AUTOMOTIVE COMPONENTS      ,1,GSKT-CYL HEAD       ,100,YE,0.01,8.954,0.0657,355,270,100,CAR-S-3957
110605RB0AE,110605RB0A,EC,110605RB0AEC,008AP7  ,NOVARES INDIA AUTOMOTIVE PVT LTD        ,NIS,OUTLET-WATER        ,10,I3,0.034,4.84,0.3,560,380,160,NIS---DC30
110605RB1AE,110605RB1A,EC,110605RB1AEC,008AP7  ,NOVARES INDIA AUTOMOTIVE PVT LTD        ,NIS,OUTLET-WATER        ,10,I3,0.034,3.24,0.14,560,380,160,NIS---DC30
110605RF0A1,110605RF0A,1C,110605RF0A1C,008AP7  ,NOVARES INDIA AUTOMOTIVE PVT LTD        ,NIS,OUTLET-WATER        ,294,ID,1.473,92.16,0.14,1180,1140,1095,NIS---DZAD
110605RF0AE,110605RF0A,66,110605RF0A66,270697,NISSAN MOTORS INDIA P LTD               ,SR1,OUTLET-WATER        ,10,I3,0.034,3.24,0.14,560,380,160,NIS---DC30
110605RF0AE,110605RF0A,EC,110605RF0AEC,008AP7  ,NOVARES INDIA AUTOMOTIVE PVT LTD        ,NIS,OUTLET-WATER        ,10,I3,0.034,3.24,0.14,560,380,160,NIS---DC30
110605RF0AJ,110605RF0A,JC,110605RF0AJC,008AP7  ,NOVARES INDIA AUTOMOTIVE PVT LTD        ,NIS,OUTLET-WATER        ,420,ID,1.473,185.4,0.32,1180,1140,1095,NIS---DZAD
110605RF0AK,110605RF0A,72,110605RF0A72,27528501,NOVARES INDIA AUTOMOTIVE PVT            ,0,OUTLET-WATER        ,210,AT,1.77,143.08,0.348,1500,1000,1180,PAL-S-0296
110605RF1AK,110605RF1A,72,110605RF1A72,27528501,NOVARES INDIA AUTOMOTIVE PVT            ,0,OUTLET-WATER        ,210,AT,1.77,143.08,0.348,1500,1000,1180,PAL-S-0296
110605RF1AT,110605RF1A,72,110605RF1A72,275285,NOVARES INDIA AUTOMOTIVE PVT            ,0,OUTLET-WATER        ,210,AT,1.77,143.08,0.348,1500,1000,1180,PAL-S-0296
110605RF1AU,110605RF1A,UC,110605RF1AUC,008AP7  ,NOVARES INDIA AUTOMOTIVE PVT LTD        ,NIS,OUTLET-WATER        ,420,ID,1.473,181.2,0.31,1180,1140,1095,NIS---DZAD
11061EC80BN,11061EC80B,NP,11061EC80BNP,002F80  ,ENDURANCE TECHNOLOGIES PVT LTD          ,NIS,HSG-THERMO          ,1200,IE,1.682,372.8,0.264,1180,1140,1250,NIS---DZAE
110622559RE,110622559R,60,110622559R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,GSKT-WATER BOX      ,65,40,0.005,0.815,0.011,300,200,90,CAR-G*40--
110957MA0AZ,110957MA0A,ZD,110957MA0AZD,008AF6  ,VICTORA AUTO PVT. LTD                   ,NIS,TUBE SPARK PLUG     ,3456,IU,0.8,308.682,0.072,1180,1140,595,NIS---DZB6
110A23523RE,110A23523R,60,110A23523R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PLUG - WATER OUTL   ,50,40,0.005,0.8,0.014,300,200,90,CAR-G*40--
111103HD0AT,111103HD0A,66,111103HD0A66,008AL6  ,AHRESTY INDIA PVT LTD                   ,NIS,PAN ASSY-OIL        ,24,2*,1.507,203.5,4.8,1180,1140,1120,ENS---3NC1
111108511RE,111108511R,60,111108511R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"PAN ASSY-OIL, E     ",30,40,0.005,11.2,0.37,300,200,90,CAR-G*40--
111117396RE,111117396R,70,111117396R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"PAN-OIL, ENGINE     ",10,40,0.005,9.1,0.9,300,200,90,CAR-G*40--
111119774RE,111119774R,70,111119774R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"PAN-OIL, ENGINE     ",34,15,0.012,30.77,0.9,300,200,200,CAR-G*15--
111119774RM,111119774R,60,111119774R60,26404001,RICO AUTO INDUSTRIES LTD                ,0,PAN COMPL-OIL       ,48,V6,1.184,233.8,2.85,1190,1150,865,CKD---6IND
111401253RE,111401253R,70,111401253R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,DIPSTICK-OIL        ,30,9,0,1.23,0.041,600,400,300,CAR-G*09--
111401HS0AJ,111401HS0A,JD,111401HS0AJD,008AG4  ,THE WEST INDIA POWER EQUIPMENTS(P) LTD. ,NIS,GAUGE ASSY-OIL LEVEL,300,I3,0.034,7.69,0.0195,560,380,160,NIS---DC30
111401HS0AN,111401HS0A,ND,111401HS0AND,008AG4  ,THE WEST INDIA POWER EQUIPMENTS(P) LTD. ,NIS,GAUGE ASSY-OIL LEVEL,300,I3,0.034,7.69,0.0195,560,380,160,NIS---DC30
111402251RM,111402251R,69,111402251R69,268377,IMPERIAL AUTO INDISTRIES LIMITED        ,0,DIPSTICK OIL GAUGE  ,100,10,0.06,5.35,0.0485,600,400,250,CAR-G*10--
111404803RT,111404803R,65,111404803R65,263883,THE WEST INDIA POWER EQIP. P.LTD.       ,1,DIPSTICK-OIL        ,1800,GO,1.26,125.24,0.039,1200,1000,1050,PAL-S-0244
111405RF0BE,111405RF0B,70,111405RF0B70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,SEAL-VALVE STEM     ,2,40,0.005,0.128,0.014,300,200,90,CAR-G*40--
111405WK0AN,111405WK0A,NC,111405WK0ANC,008AG4  ,THE WEST INDIA POWER EQUIPMENTS(P) LTD. ,NIS,GAUGE ASSY-OIL LEVEL,310,I3,0.034,7.885,0.0195,560,380,160,NIS---DC30
111405WK0AT,111405WK0A,QC,111405WK0AQC,008AG4  ,THE WEST INDIA POWER EQUIPMENTS(P) LTD. ,NIS,GAUGE ASSY-OIL LEVEL,310,I3,0.034,7.885,0.0195,560,380,160,NIS---DC30
111406LA0A1,111406LA0A,1C,111406LA0A1C,008AG4  ,THE WEST INDIA POWER EQUIPMENTS(P) LTD. ,NIS,GAUGE ASSY-OIL LEVEL,310,I3,0.034,7.885,0.0195,560,380,160,NIS---DC30
